id,temperatura,ph,value_R,value_R_desv,value_G,value_G_desv,value_B,value_B_desv,value_I,value_I_desv,photo_src,date,lectura_id,nombre,cluster,fase
51,26.75,8.792188,27.75304,24.23258042620009,145.976848,32.502586604528815,83.244912,9.309610666316829,113.720528,27.113435035074698,photos/2025/02/14/photo_20250214_000002.jpg,2025-02-14 00:00:13,0,Cultivo1,0,Exponential
52,26.6875,8.769402,26.734784,23.593120626249,145.164192,32.05206241394048,82.392208,8.849258300747245,112.870592,26.62113787142721,photos/2025/02/14/photo_20250214_010002.jpg,2025-02-14 01:00:13,1,Cultivo1,0,Exponential
53,26.625,8.720573,26.1888,22.48310046067348,140.3128,30.84051640553381,77.802208,8.395067275489817,108.590128,25.5079762612328,photos/2025/02/14/photo_20250214_020002.jpg,2025-02-14 02:00:13,2,Cultivo1,0,Exponential
54,26.5,8.772656,24.063408,22.703100198660096,138.759824,31.451673079329566,76.53264,8.344806973533661,107.055792,25.92343633187421,photos/2025/02/14/photo_20250214_030002.jpg,2025-02-14 03:00:13,3,Cultivo1,0,Exponential
55,26.5,8.671745,24.776864,23.134118601782607,139.266256,31.872582382707307,77.028784,8.618833466630157,107.584768,26.322794957720124,photos/2025/02/14/photo_20250214_040002.jpg,2025-02-14 04:00:13,4,Cultivo1,0,Exponential
56,26.4375,8.684766,23.390752,21.681715906023307,134.55544,30.11673259844766,72.608864,7.869907297706625,103.334,24.77315991148485,photos/2025/02/14/photo_20250214_050002.jpg,2025-02-14 05:00:13,5,Cultivo1,0,Exponential
57,26.25,8.707552,23.169488,22.071390914678304,135.673632,30.806722576875583,73.641616,7.842042196893358,104.276544,25.29324849472808,photos/2025/02/14/photo_20250214_060002.jpg,2025-02-14 06:00:13,6,Cultivo1,0,Exponential
58,26.25,8.81823,23.38768,22.99895382826132,135.971248,31.82385352722853,73.939248,8.251503148978372,104.564384,26.211664554174043,photos/2025/02/14/photo_20250214_070002.jpg,2025-02-14 07:00:13,7,Cultivo1,0,Exponential
59,26.1875,8.606641,22.425648,21.3478191273372,131.230624,30.32385141387261,69.670864,7.578505906845755,100.394416,24.758769679023715,photos/2025/02/14/photo_20250214_080002.jpg,2025-02-14 08:00:13,8,Cultivo1,0,Exponential
60,26.125,8.492708,22.527232,22.71195197467836,131.657664,31.35275461682919,70.144352,7.824552793494079,100.799424,25.79193411259078,photos/2025/02/14/photo_20250214_090002.jpg,2025-02-14 09:00:13,9,Cultivo1,0,Exponential
